file,start_s,end_s,label,split,notes
csi (1)一人/rx_2_260904_171616.csi,0,,,,unknown; fill from collection log
csi (1)一人/rx_2_260904_171741.csi,0,,,,unknown; fill from collection log
csi (1)一人/rx_2_260904_171851.csi,0,,,,unknown; fill from collection log
csi (1)一人/rx_2_260904_172026.csi,0,,,,unknown; fill from collection log
csi (1)一人/rx_2_260904_172141.csi,0,,,,unknown; fill from collection log
csi (1)一人/rx_2_260904_172323.csi,0,,,,unknown; fill from collection log
csi (1)一人/rx_2_260904_172606.csi,0,,,,unknown; fill from collection log
csi (1)一人/rx_2_260904_172903.csi,0,,,,unknown; fill from collection log
csi (1)一人/rx_2_260904_173024.csi,0,,,,unknown; fill from collection log
csi (1)一人/rx_2_260904_173157.csi,0,,,,unknown; fill from collection log
csi (1)一人/rx_2_260904_173731.csi,0,,,,unknown; fill from collection log
csi (1)一人/rx_2_260904_173926.csi,0,,,,unknown; fill from collection log
csi(2)二人+无人/rx_2_260904_174639.csi,0,,,,unknown; fill from collection log
csi(2)二人+无人/rx_2_260904_174752.csi,0,,,,unknown; fill from collection log
csi(2)二人+无人/rx_2_260904_174948.csi,0,,,,unknown; fill from collection log
csi(2)二人+无人/rx_2_260904_175150.csi,0,,,,unknown; fill from collection log
csi(2)二人+无人/rx_2_260904_175311.csi,0,,,,unknown; fill from collection log
csi(2)二人+无人/rx_2_260904_175541.csi,0,,,,unknown; fill from collection log
csi(2)二人+无人/rx_2_260904_175811.csi,0,,,,unknown; fill from collection log
csi(2)二人+无人/rx_2_260904_180000.csi,0,,,,unknown; fill from collection log
csi(2)二人+无人/rx_2_260904_180112.csi,0,,,,unknown; fill from collection log
csi(2)二人+无人/rx_2_260904_180258.csi,0,,,,unknown; fill from collection log
csi(2)二人+无人/rx_2_260904_180803.csi,0,,,,unknown; fill from collection log
csi(2)二人+无人/rx_2_260904_180942.csi,0,,,,unknown; fill from collection log
rx_2_260904_154612.csi,0,,,,unknown; fill from collection log
rx_2_260904_155654.csi,0,,,,unknown; fill from collection log
rx_2_260904_160007.csi,0,,,,unknown; fill from collection log
rx_2_260904_162630.csi,0,,,,unknown; fill from collection log
rx_2_260904_174514.csi,0,,,,unknown; fill from collection log
